Баккара;Ярославль, ул. Кооперативная, д.9;269;отели
Ибис;Ярославль, Первомайский переулок, д. 2а;960;
СК Роял;Ярославль, наб. Которосльная, д. 55;423;
Святой Георгий;Ярославль, Московский пр., д. 10/15;205;
Юбилейная;Ярославль, Которосльная набережная, 26;295;
Парк Инн;Ярославль, ул. Павлика Морозова, 3Б;453;
Алеша Попович;Ярославль, ул. Первомайская, 55;537;
Ринг Премьер;Ярославль, ул. Свободы, д. 55;422;
Пивотека Пинта;Ярославль, ул. Советская, 8;361;рестораны
Пенаты;Ярославль, ул. Советская, 28;579;
Роки Пицца ;Ярославль, ул. Свободы 34б;323;
Багет Паштет;Ярославль, ул. Собинова, 41Б;622;
Рога и копыта;Ярославль, ул. Первомайская, 59;561;
Вок-кафе;Ярославль, ул. Свободы, 27;218;
Иоанн Васильевич;Ярославль, ул. Революционная, 34;938;
Андерсон;Ярославль, ул. Республиканская, 68;288;
Собрание;Ярославль, Волжская набережная, 33;476;
Бульвар;Ярославль, Челюскинцев площадь, 14;291;
Дудки бар;Ярославль, ул. Собинова, 33;426;
Мили;Ярославль, ул. Угличская 36;103;
Хмель и гриль;Ярославль, ул. Суркова, 18;107;
Афоня;Ярославль, ул. Нахимсона, 21а;129;
Папин гараж;Ярославль, ул. Победы, д. 38/27;122;
Подбелка;Ярославль, Большая Октябрьская, 28;216;
Ванильное небо;Ярославль, ул. Волжская набережная, 2;311;
Сквер;Ярославль, Первомайский бульвар, 5;171;
Трактир;Ярославль, Волжская набережная, 17;130;
Джузеппе;Ярославль, ул. Свободы, 21/67;105;
Пауланер;Ярославль, ул. Павлика Морозова, 3Б;137;
Пивовар;Ярославль, проезд Революционный, 14;345;
Бутер Бро;Ярославль, ул. Трефолева, 12 А;106;
Амстердам;Ярославль, Трефолева ул., 13;110;
У Штирлица;Ярославль, Депутатский переулок, дом 6;72;
Бон Апети;Ярославль, ул. Наумова, 65/1;98;
Трибинс;Ярославль, ул. Большая Октябрьская, 92/63;70;
Первый Паб;Ярославль, Московский проспект, 92;49;
Шкаф;Ярославль, ул. Свободы, 2/40;88;
Киш миш;Ярославль, ул. Республиканская, 82;35;
серф кофе;Ярославль, ул. Свободы, 41;31;
Кабачок;Ярославль, Некрасова ул., 1;67;
Честный стейк;Ярославль, Пр. Ленина, 26;85;
Бургерная;Ярославль, Свободы 8/38;21;
Черная кошка;Ярославль, Флотская, 22;46;
Гастробар;Ярославль, ул. Нахимсона, 21;73;
ПаПа;Ярославль, ул. Собинова, 43А;64;
Монако;Ярославль, ул. Трефолева, 17/14;71;
Дежавю;Ярославль, ул. Свободы, 52/39;55;
Свит Пеппер;Ярославль, Кирова, 10;38;
Небо;Ярославль, ул. Большая Федоровская, 35;32;
Мамука;Ярославль, Первомайский Бульвар, 1;79;
В мясо;Ярославль, ул. Кирова, 10/25;30;
Трэвелерс;Ярославль, ул. Свободы, 32A;62;
Шешбеш;Ярославль, пр. Московский, 101;65;
Волжская жемчужина;Ярославль, Волжская наб., 2а;57;
Олд стрит;Ярославль, ул. Ушинского, 30;17;
Фрекен Бокен;Ярославль, Свободы, 71;74;
Имеди;Ярославль, Депутатский переулок, 2;73;
Токио;Ярославль, Кирова, 10/25;35;
Штолле;Ярославль, Октября проспект, 3;33;
Цеппелин;Ярославль, ул. Трефолева, 24A;95;
Папа Карло;Ярославль, Ленина проспект, 29/51;59;
Персона;Ярославль, Первомайская, 7;71;
Альбом;Ярославль, ул. Кирова, 4;17;
Я люблю тебя, жизнь;Ярославль, Нахимсона ул., 18;70;
Русский чай;Ярославль, Кирова, 11;38;
Джаз модерн;Ярославль, ул. Пушкина, д.5;40;
Волжская Башня;Ярославль, Волжская наб., 2а;64;
Папа Карло;Ярославль, пр.Октября, 64;28;
КФС;Ярославль, Комсомольская, 5,;37;
Рокс бар;Ярославль, Андропова, 25 В;35;
Свои да наши;Ярославль, Свободы, 34в;66;
Макдональдс;Ярославль, Победы, 41;14;
Поплавок;Ярославль, Подзеленье, 7/1;68;
ДеГУсто;Ярославль, ул. Ушинского, 16Б;21;
Руж;Ярославль, ул.Победы 37;15;
Куба Либре;Ярославль, ул. Кирова, 7/8;70;
Хэмингуэй;Ярославль, ул. Некрасова 1/2;26;
Макдональдс;Ярославль, Свободы, 59;129;
Босфор;Ярославль, ул. Первомайская, 9/12;36;
Коктейль;Ярославль, ул. Кирова, д. 5;23;
Пельменная;Ярославль, Свободы, 46;17;
Демидов;Ярославль, Нахимсона ул., 3;29;
Черномор;Ярославль, Нахимсона, 23;71;
Богата Хата;Ярославль, ул. Свободы, д. 43;33;
Камин;Ярославль, ул. Свободы, 46;31;
Охота;Ярославль, Которосльная Набережная, 60;26;
Чин Фэн;Ярославль, Комсомольская ул., 3;48;
Актер;Ярославль, Кирова, 5а;16;
Ме100;Ярославль, Ушинского, 38;14;
Лапша;Ярославль, Ленина проспект, 26;29;
Капуцин;Ярославль, проспект Толбухина, 62;16;
Манилов;Ярославль, Свободы, 52;19;
Гаврош;Ярославль, ул. Кирова,5;44;
Сушная;Ярославль, Свободы, 13а;17;
Макдональдс;Ярославль, пр. Авиаторов, 88-а;120;
Макдональдс;Ярославль, Ленинградский пр-кт, 109;131;
Макдональдс;Ярославль, Московский просп., 105;171;
Макдональдс;Ярославль, Московский просп., 90А;91;
У Палыча;Ярославль, ул. Светлая, 5а;23;
Волжская наб;Ярославль, ул. Волжская набережная, 1;1269;развлечения
Толгский монастырь;Ярославль, Толга пос, 1;330;
Церковь Ильи пророка;Ярославль, пл. Советская, д.7;391;
Церковь Иоанна Предтечи;Ярославль, Закоторосльная 2-я Набережная, д. 69;248;
Памятник медведю;Ярославль, ул. Первомайская, 55;357;
Музыка и время;Ярославль, наб. Волжская, 33а;490;
Музей-заповедник;Ярославль, Богоявленская пл., 25;299;
Худ. Музей;Ярославль, Волжская Набережная, д. 23;158;
музей Эйнштейна;Ярославль, ул. Собинова, д. 47;171;
Успенский собор;Ярославль, Которосльная набережная, д.2/1;219;
Зоопарк;Ярославль, ул. Шевелюха, 137;259;
Аура;Ярославль, ул. Победы, 41;909;ТЦ
Фараон;Ярославль, ул. Гоголя, 2;183;
Гигант;Ярославль, пр. Октября, 46;124;
7 дней;Ярославль, ул. Труфанова, 32;29;
Тандем;Ярославль, ул. Полушкина Роща, 9, стр. 13;91;
ТЦ Чкаловский;Ярославль, ул. Чкалова, 17к1;23;
Космос;Ярославль, ул. Урицкого, 49а;164;
Флагман;Ярославль, ул. Республиканская, 7;105;
Пассаж;Ярославль, пр. Толбухина, 8/75;23;
Новая галерея;Ярославль, ул. Свободы, 71А;10;
Альтаир;Ярославль, Ленинградский пр., 123;232;
Метро;Ярославль, пр. Фрунзе, 32;35;
Ниагара;Ярославль, ул. Свободы, 1/2;38;
Олимп;Ярославль, Угличская ул., 12;11;
Кристалл;Ярославль, ул. Бабича, 19;11;
Космос-2;Ярославль, пр. Авиаторов, 149;84;
Лотос;Ярославль, Ленинградский пр., 70;65;
Фрунзенский;Ярославль, Московский просп., 97;12;
Брагинский;Ярославль, ул. Урицкого, 44;12;
Бутусовский;Ярославль, ул. Победы, 38;47;
Звездный;Ярославль, Ленинградский пр., 65а;27;
Рио;Ярославль, Московский пр., 108;193;
Сокол;Ярославль, Корабельная ул., 2;18;
Венге;Ярославль, ул. Свободы, 91;72;
Дом моды;Ярославль, ул. Победы, 6;31;
Яковлевский;Ярославль, ул. Космонавтов, 11;13;
Спутник;Ярославль, просп. Фрунзе, 3;35;
Оптима;Ярославль, ул. Панина, 12В;13;
Рио опт;Ярославль, Тутаевское ш., 1;155;
Салют плюс;Ярославль, Ярославль, Волгоградская ул., 39;25;
Перекоп; Ярославль, ул. 8-e Марта, 15;10;
Союз;Ярославль, пр. Авиаторов, 86;21;
Горизонт;Ярославль, ул. Светлая, 34;25;
Пирамида;Ярославль, Московский просп., 90;33;
Универмаг;Ярославль, ул. Свободы, 63;39;
Мир женщины;Ярославль, Кирова ул., 9/7;20;
Анастасия;Ярославль, Клубная ул., 1;11;
Дикон;Ярославль, Промышленное ш., 64;45;
Чайка;Ярославль, ул. Титова, 10Б;12;
Лента;Ярославль, пр. Фрунзе, 53;37;
Глобус;Ярославль, Красный Бор, стр. 1;489;
Яркий;Ярославль, пр. Машиностроителей, 30/18;123;
Доронинский;Ярославль, ул. Доронина, 6;11;
Аксон;Ярославль, пр. Фрунзе, 30;32;
